#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
156,"Vauhti kiihtyy (feat. Matti ja Teppo)","Portion Boys, Matti ja Teppo",42,95,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Vauhti kiihtyy (feat. Matti ja Teppo)",2021-06-11,03:31,62,91,0,0,71,0,0,-4,G,4,2025-01-15,4N84bVnNycTXiuoKZFEXrD,"Sony Music Entertainment Finland",9B,FIMFY2100003
157,"Drops of Jupiter (Tell Me)","Train",80,79,"soft pop","Pop","Drops Of Jupiter",2001-03-27,04:19,48,64,15,0,50,0,10,-6,C,4,2025-01-15,2hKdd3qO7cWr2Jo0Bcs0MA,"Columbia/Legacy",8B,USSM10019751
158,"Kiss from a Rose","Seal",75,132,"","","Seal",1994-05-31,04:48,58,53,68,0,22,0,30,-7,A#/B♭ minor,3,2025-01-15,3YKptz29AsOlm7WAVnztBh,"Warner Records",3A,USWB19900917
159,"Paratiisi","Rauli Badding Somerjoki",44,93,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Näin käy rock & roll",2000-01-01,02:38,62,76,78,0,79,0,10,-8,E minor,4,2025-01-15,5QFDqIgiyNkCiUVLM40CkD,"Siboney Oy",9A,FISBA7400076
160,"Bohemian Rhapsody","Queen",75,144,"classic rock, rock, glam rock","Rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,05:54,39,40,29,0,25,0,20,-10,C minor,4,2025-01-15,3z8h0TU7ReDPLIbEnYhWZb,"EMI",5A,GBUM71029604
161,"Woman in Love","Barbra Streisand",68,170,"adult standards","Easy Listening","Guilty",1980-09-23,03:51,47,28,25,0,33,0,10,-16,D#/E♭ minor,4,2025-01-15,1pTGc8pwyo6xtgXBKCBcFn,"Columbia",2A,USSM10006441
162,"Rhythm Of The Night","DeBarge",64,115,"quiet storm","R&B","Rhythm Of The Night",1985-00-00,03:49,71,76,8,0,96,0,0,-12,B minor,4,2025-01-15,5yGTQzYbEdY6B9RFZJypgt,"UNI/MOTOWN",10A,USMO18500526
163,"All the Best Girls","Bogart Co.",28,123,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","All The Best Girls",2009-03-16,03:59,84,75,2,0,78,0,10,-5,C,4,2025-01-15,0uSG54g78oDu23LDYnMqYi,"WEA",8B,FIFMT8500008
164,"Up Around The Bend","Hanoi Rocks",0,140,"glam metal, finnish rock, glam rock","Rock, Metal","Two Steps From The Move",1984-08-01,03:08,46,93,1,0,72,0,30,-5,G,4,2025-01-15,7bDVcyCsENX57qgjk2twzU,"Hanoi Rocks",9B,GBBBN0009207
165,"Oi Beibi","Raptori",41,120,"finnish pop, iskelmä, finnish rock, finnish hip hop","Hip Hop, Pop, Rock, Traditional Music","Oi Beibi",2017-12-03,03:24,76,89,15,0,95,0,30,-5,G#/A♭,4,2025-01-15,0H44ogAblREdb0vZsOwkfU,"Raptori",4B,SEYOK1780742
